"","business_id","stars"
"1043","sfd19Wo_7g2TwaoJmA9B8A",5
"1090","hcFSc0OHgZJybnjQBrL_8Q",4
"1116","-XH3-e3jDVdjHJq7GfNY7w",4
"1121","2cetuQgbP1Bnzm-uMRlocQ",5
"1130","hcFSc0OHgZJybnjQBrL_8Q",4
"1158","hcFSc0OHgZJybnjQBrL_8Q",5
"1164","t_yiQnxUDdPPCN2z4QyezA",5
"1203","z9lOfnUorcbWR_xS0DSeHw",5
"1254","2cetuQgbP1Bnzm-uMRlocQ",4
"1264","t_yiQnxUDdPPCN2z4QyezA",5
"1278","z9lOfnUorcbWR_xS0DSeHw",1
"1285","sfd19Wo_7g2TwaoJmA9B8A",1
"1320","hcFSc0OHgZJybnjQBrL_8Q",4
"1365","t_yiQnxUDdPPCN2z4QyezA",5
"1422","vVdY2qDO7dkUrU8LXYZ1uA",4
"1446","hcFSc0OHgZJybnjQBrL_8Q",4
"1521","hcFSc0OHgZJybnjQBrL_8Q",4
"1527","SWDEdiv_v1QppobT1YnEPA",5
"1529","hcFSc0OHgZJybnjQBrL_8Q",5
"1543","y3vpN6sfipzEpn9Tt5wuog",4
"1566","sfd19Wo_7g2TwaoJmA9B8A",1
"1570","VGxJbglGlx-a7Gdc55Q6jQ",4
"1571","EVkytEhlC1nswqmgrHdviw",3
"1579","HVpwpXneaCWMeEBF7H8jpQ",4
"1590","hcFSc0OHgZJybnjQBrL_8Q",5
"1612","2cetuQgbP1Bnzm-uMRlocQ",5
"1639","ui33pIJmkW0s8HddH_ZZ9A",2
"1701","hcFSc0OHgZJybnjQBrL_8Q",4
"1706","1MrJJ9tyNyfFrxaNZ67xFg",5
"1751","qAzOcHnWerREl678su-p0A",4
"1759","t_yiQnxUDdPPCN2z4QyezA",5
"1806","OyBStpjF5e_iRCMXflFasQ",1
"1812","GeeR1ScER2WpFoJs1sTjsA",1
"1919","t_yiQnxUDdPPCN2z4QyezA",5
"1932","Q3zZTpHQBSbiPq2lLaTtgw",4
"1944","jjBTBObnHrY87qQIMybjzQ",5
"1946","w4MypAX8UIaJq-mhCZBq2A",5
"1947","sfd19Wo_7g2TwaoJmA9B8A",1
"1978","dRT7tLyakasIjJ4B0Fm92Q",1
"2046","t_yiQnxUDdPPCN2z4QyezA",5
"2075","HVpwpXneaCWMeEBF7H8jpQ",5
"2113","jDZJsIyc3jXjcTtJk_p8ZA",4
"2116","hcFSc0OHgZJybnjQBrL_8Q",5
"2127","VGxJbglGlx-a7Gdc55Q6jQ",4
"2161","hcFSc0OHgZJybnjQBrL_8Q",5
"2178","8cjXEmuqgCbIRudb2D52qw",1
"2223","1SJiW_mW6IlEe7hqMTnjYg",3
"2243","t_yiQnxUDdPPCN2z4QyezA",5
"2254","t_yiQnxUDdPPCN2z4QyezA",5
"2274","VGxJbglGlx-a7Gdc55Q6jQ",4
"2276","ba2xyZXG8hRb3hh7uDZs_g",2
"2304","hcFSc0OHgZJybnjQBrL_8Q",5
"2319","hcFSc0OHgZJybnjQBrL_8Q",2
"2481","w4MypAX8UIaJq-mhCZBq2A",1
"2482","z9lOfnUorcbWR_xS0DSeHw",2
"2487","OyBStpjF5e_iRCMXflFasQ",4
"2498","hcFSc0OHgZJybnjQBrL_8Q",4
"2518","VGxJbglGlx-a7Gdc55Q6jQ",4
"2561","hcFSc0OHgZJybnjQBrL_8Q",4
"2566","hcFSc0OHgZJybnjQBrL_8Q",3
"2611","hcFSc0OHgZJybnjQBrL_8Q",5
"2614","VGxJbglGlx-a7Gdc55Q6jQ",1
"2616","w4MypAX8UIaJq-mhCZBq2A",4
"2636","JEqM8xXhKumU5AfhmsiD8w",4
"2638","t_yiQnxUDdPPCN2z4QyezA",5
"2652","y3vpN6sfipzEpn9Tt5wuog",4
"2659","VGxJbglGlx-a7Gdc55Q6jQ",4
"2677","UPSzbM6D2SkarWAINq1I9A",5
"2800","8cjXEmuqgCbIRudb2D52qw",5
"2845","hcFSc0OHgZJybnjQBrL_8Q",4
"2847","hcFSc0OHgZJybnjQBrL_8Q",5
"2872","JEqM8xXhKumU5AfhmsiD8w",4
"2903","VGxJbglGlx-a7Gdc55Q6jQ",2
"2911","t_yiQnxUDdPPCN2z4QyezA",5
"2979","t_yiQnxUDdPPCN2z4QyezA",5
"3039","Ks7EuyQVI2JEif4Xp70MmA",4
"3048","VGxJbglGlx-a7Gdc55Q6jQ",1
"3091","t_yiQnxUDdPPCN2z4QyezA",2
"3120","hcFSc0OHgZJybnjQBrL_8Q",5
"3122","GeeR1ScER2WpFoJs1sTjsA",3
"3179","t_yiQnxUDdPPCN2z4QyezA",5
"3183","VGxJbglGlx-a7Gdc55Q6jQ",4
"3220","8cjXEmuqgCbIRudb2D52qw",3
"3227","t_yiQnxUDdPPCN2z4QyezA",5
"3233","VGxJbglGlx-a7Gdc55Q6jQ",3
"3248","8ZL4ed3Y8_F6AgPAYxgi2g",5
"3259","8cjXEmuqgCbIRudb2D52qw",2
"3279","UPSzbM6D2SkarWAINq1I9A",2
"3296","1MrJJ9tyNyfFrxaNZ67xFg",5
"3333","HVpwpXneaCWMeEBF7H8jpQ",5
"3337","JEqM8xXhKumU5AfhmsiD8w",4
"3352","hcFSc0OHgZJybnjQBrL_8Q",3
"3357","HVpwpXneaCWMeEBF7H8jpQ",4
"3424","PXKjfPxjJSykV3vN8GAoBQ",4
"3438","ceuvH6NpDhpT1p4q1w93pA",5
"3451","1MrJJ9tyNyfFrxaNZ67xFg",5
"3480","jDZJsIyc3jXjcTtJk_p8ZA",3
"3483","t_yiQnxUDdPPCN2z4QyezA",5
"3541","VGxJbglGlx-a7Gdc55Q6jQ",2
"3673","ui33pIJmkW0s8HddH_ZZ9A",4
"3681","hcFSc0OHgZJybnjQBrL_8Q",5
"3686","JEqM8xXhKumU5AfhmsiD8w",5
"3694","t_yiQnxUDdPPCN2z4QyezA",2
"3701","hcFSc0OHgZJybnjQBrL_8Q",5
"3734","sfd19Wo_7g2TwaoJmA9B8A",4
"3741","1SJiW_mW6IlEe7hqMTnjYg",3
"3770","hcFSc0OHgZJybnjQBrL_8Q",5
"3773","iDHWqYdaTd5cHjppBdg5Rw",4
"3781","hcFSc0OHgZJybnjQBrL_8Q",5
"3825","hcFSc0OHgZJybnjQBrL_8Q",1
"3845","EVkytEhlC1nswqmgrHdviw",1
"3854","hcFSc0OHgZJybnjQBrL_8Q",4
"3860","hcFSc0OHgZJybnjQBrL_8Q",4
"3932","dRT7tLyakasIjJ4B0Fm92Q",1
"3955","hcFSc0OHgZJybnjQBrL_8Q",5
"3961","hcFSc0OHgZJybnjQBrL_8Q",4
"3977","VGxJbglGlx-a7Gdc55Q6jQ",4
"3992","PXKjfPxjJSykV3vN8GAoBQ",5
"4003","t_yiQnxUDdPPCN2z4QyezA",3
"4060","HVpwpXneaCWMeEBF7H8jpQ",5
"4077","sfd19Wo_7g2TwaoJmA9B8A",4
"4087","hcFSc0OHgZJybnjQBrL_8Q",1
"4102","D2eZD_MP8Ds32rkoVI_MBQ",5
"4194","8cjXEmuqgCbIRudb2D52qw",5
"4237","UPSzbM6D2SkarWAINq1I9A",3
"4243","VGxJbglGlx-a7Gdc55Q6jQ",2
"4257","HVpwpXneaCWMeEBF7H8jpQ",2
"4268","JEqM8xXhKumU5AfhmsiD8w",5
"4341","VGxJbglGlx-a7Gdc55Q6jQ",1
"4364","OyBStpjF5e_iRCMXflFasQ",1
"4391","t_yiQnxUDdPPCN2z4QyezA",5
"4399","1MrJJ9tyNyfFrxaNZ67xFg",5
"4401","hcFSc0OHgZJybnjQBrL_8Q",5
"4431","hcFSc0OHgZJybnjQBrL_8Q",5
"4468","1SJiW_mW6IlEe7hqMTnjYg",4
"4515","sfd19Wo_7g2TwaoJmA9B8A",5
"4530","8cjXEmuqgCbIRudb2D52qw",4
"4532","jDZJsIyc3jXjcTtJk_p8ZA",4
"4591","hcFSc0OHgZJybnjQBrL_8Q",5
"4616","ba2xyZXG8hRb3hh7uDZs_g",1
"4623","t_yiQnxUDdPPCN2z4QyezA",5
"4635","ceuvH6NpDhpT1p4q1w93pA",4
"4700","2cetuQgbP1Bnzm-uMRlocQ",3
"4708","sfd19Wo_7g2TwaoJmA9B8A",1
"4724","2cetuQgbP1Bnzm-uMRlocQ",5
"4736","GeeR1ScER2WpFoJs1sTjsA",1
"4781","hcFSc0OHgZJybnjQBrL_8Q",5
"4840","hcFSc0OHgZJybnjQBrL_8Q",2
"4913","2lXYidovGbSa56cd07oHlg",3
"4921","hcFSc0OHgZJybnjQBrL_8Q",4
"5012","hcFSc0OHgZJybnjQBrL_8Q",4
"5028","OyBStpjF5e_iRCMXflFasQ",1
"5064","t_yiQnxUDdPPCN2z4QyezA",5
"5071","XhMfL-6lt-prYyC9Lp02gg",5
"5176","sfd19Wo_7g2TwaoJmA9B8A",4
"5208","t_yiQnxUDdPPCN2z4QyezA",5
"5225","hcFSc0OHgZJybnjQBrL_8Q",5
"5309","3e0IGa_-zqTemKLc1dbdmg",4
"5358","VGxJbglGlx-a7Gdc55Q6jQ",2
"5360","sfd19Wo_7g2TwaoJmA9B8A",4
"5383","z9lOfnUorcbWR_xS0DSeHw",4
"5385","z9lOfnUorcbWR_xS0DSeHw",3
"5410","1MrJJ9tyNyfFrxaNZ67xFg",5
"5461","hcFSc0OHgZJybnjQBrL_8Q",5
"5564","ui33pIJmkW0s8HddH_ZZ9A",5
"5566","2cetuQgbP1Bnzm-uMRlocQ",2
"5572","z9lOfnUorcbWR_xS0DSeHw",5
"5632","8cjXEmuqgCbIRudb2D52qw",2
"5641","hcFSc0OHgZJybnjQBrL_8Q",4
"5654","hcFSc0OHgZJybnjQBrL_8Q",4
"5664","JEqM8xXhKumU5AfhmsiD8w",4
"5726","-XH3-e3jDVdjHJq7GfNY7w",5
"5843","VGxJbglGlx-a7Gdc55Q6jQ",4
"5844","VGxJbglGlx-a7Gdc55Q6jQ",4
"5859","P3dBcZh_Hmr1wVWFZn2b-g",1
"5873","HVpwpXneaCWMeEBF7H8jpQ",3
"5916","G4JLnk8TkeAhZ71V4Pof8A",3
"5968","hcFSc0OHgZJybnjQBrL_8Q",5
"5969","8cjXEmuqgCbIRudb2D52qw",5
"5996","8cjXEmuqgCbIRudb2D52qw",5
"6038","riXr33UJRQXVMKJcNZPqqw",1
"6082","t_yiQnxUDdPPCN2z4QyezA",4
"6088","-XH3-e3jDVdjHJq7GfNY7w",5
"6121","vGCAzbPIcZNkqNkKBbh4Ow",4
"6129","8cjXEmuqgCbIRudb2D52qw",4
"6132","jDZJsIyc3jXjcTtJk_p8ZA",5
"6145","hcFSc0OHgZJybnjQBrL_8Q",4
"6147","t_yiQnxUDdPPCN2z4QyezA",5
"6174","ceuvH6NpDhpT1p4q1w93pA",5
"6187","SWDEdiv_v1QppobT1YnEPA",5
"6192","P3dBcZh_Hmr1wVWFZn2b-g",5
"6240","3e0IGa_-zqTemKLc1dbdmg",2
"6281","lWk3vNrOIFTbUwEZBkY2wg",5
"6309","owV0aSgh4t_9aG56iPxGEw",3
"6326","ba2xyZXG8hRb3hh7uDZs_g",1
"6336","PXKjfPxjJSykV3vN8GAoBQ",4
"6410","2cetuQgbP1Bnzm-uMRlocQ",5
"6431","owV0aSgh4t_9aG56iPxGEw",5
"6432","UPSzbM6D2SkarWAINq1I9A",2
"6448","GeeR1ScER2WpFoJs1sTjsA",1
"6452","8cjXEmuqgCbIRudb2D52qw",1
"6454","hcFSc0OHgZJybnjQBrL_8Q",5
"6484","-XH3-e3jDVdjHJq7GfNY7w",1
"6485","t_yiQnxUDdPPCN2z4QyezA",5
"6496","UPSzbM6D2SkarWAINq1I9A",5
"6499","VGxJbglGlx-a7Gdc55Q6jQ",2
"6554","vVdY2qDO7dkUrU8LXYZ1uA",5
"6582","1MrJJ9tyNyfFrxaNZ67xFg",4
"6634","jDZJsIyc3jXjcTtJk_p8ZA",1
"6652","GeeR1ScER2WpFoJs1sTjsA",1
"6687","y3vpN6sfipzEpn9Tt5wuog",1
"6696","t_yiQnxUDdPPCN2z4QyezA",4
"6720","t_yiQnxUDdPPCN2z4QyezA",5
"6731","1MrJJ9tyNyfFrxaNZ67xFg",4
"6737","UPSzbM6D2SkarWAINq1I9A",5
"6745","sfd19Wo_7g2TwaoJmA9B8A",1
"6786","JEqM8xXhKumU5AfhmsiD8w",5
"6824","sfd19Wo_7g2TwaoJmA9B8A",5
"6825","2cetuQgbP1Bnzm-uMRlocQ",3
"6835","hcFSc0OHgZJybnjQBrL_8Q",5
"6845","UPSzbM6D2SkarWAINq1I9A",5
"6854","ui33pIJmkW0s8HddH_ZZ9A",5
"6861","lWk3vNrOIFTbUwEZBkY2wg",3
"6903","G4JLnk8TkeAhZ71V4Pof8A",2
"6919","riXr33UJRQXVMKJcNZPqqw",1
"6930","ui33pIJmkW0s8HddH_ZZ9A",4
"6933","MFbTdZe4Aby_0UbWWsfl6Q",5
"6978","hcFSc0OHgZJybnjQBrL_8Q",5
"7009","t_yiQnxUDdPPCN2z4QyezA",5
"7037","jDZJsIyc3jXjcTtJk_p8ZA",4
"7057","owV0aSgh4t_9aG56iPxGEw",4
"7077","3Esl4FVI9Rzl_KSmIiMgaw",2
"7092","ceuvH6NpDhpT1p4q1w93pA",4
"7113","vGCAzbPIcZNkqNkKBbh4Ow",5
"7145","hcFSc0OHgZJybnjQBrL_8Q",5
"7149","hcFSc0OHgZJybnjQBrL_8Q",4
"7150","jDZJsIyc3jXjcTtJk_p8ZA",4
"7165","hcFSc0OHgZJybnjQBrL_8Q",4
"7168","hcFSc0OHgZJybnjQBrL_8Q",5
"7170","sfd19Wo_7g2TwaoJmA9B8A",1
"7183","hcFSc0OHgZJybnjQBrL_8Q",5
"7244","t_yiQnxUDdPPCN2z4QyezA",5
"7249","2cetuQgbP1Bnzm-uMRlocQ",4
"7297","hcFSc0OHgZJybnjQBrL_8Q",5
"7326","hcFSc0OHgZJybnjQBrL_8Q",5
"7372","Q3zZTpHQBSbiPq2lLaTtgw",5
"7385","-XH3-e3jDVdjHJq7GfNY7w",4
"7443","G4JLnk8TkeAhZ71V4Pof8A",1
"7465","G4JLnk8TkeAhZ71V4Pof8A",4
"7467","dRT7tLyakasIjJ4B0Fm92Q",2
"7487","XhMfL-6lt-prYyC9Lp02gg",5
"7508","GeeR1ScER2WpFoJs1sTjsA",5
"7510","owV0aSgh4t_9aG56iPxGEw",2
"7512","sfd19Wo_7g2TwaoJmA9B8A",5
"7574","sfd19Wo_7g2TwaoJmA9B8A",5
"7672","hcFSc0OHgZJybnjQBrL_8Q",3
"7686","hcFSc0OHgZJybnjQBrL_8Q",3
"7698","t_yiQnxUDdPPCN2z4QyezA",5
"7714","t_yiQnxUDdPPCN2z4QyezA",5
"7722","2cetuQgbP1Bnzm-uMRlocQ",1
"7740","ceuvH6NpDhpT1p4q1w93pA",4
"7770","vGCAzbPIcZNkqNkKBbh4Ow",1
"7798","t_yiQnxUDdPPCN2z4QyezA",5
"7881","sfd19Wo_7g2TwaoJmA9B8A",1
"7940","8cjXEmuqgCbIRudb2D52qw",4
"7945","t_yiQnxUDdPPCN2z4QyezA",4
"8005","1MrJJ9tyNyfFrxaNZ67xFg",5
"8051","hcFSc0OHgZJybnjQBrL_8Q",5
"8077","hcFSc0OHgZJybnjQBrL_8Q",4
"8085","8cjXEmuqgCbIRudb2D52qw",4
"8097","jjBTBObnHrY87qQIMybjzQ",5
"8127","t_yiQnxUDdPPCN2z4QyezA",2
"8136","iDHWqYdaTd5cHjppBdg5Rw",4
"8143","t_yiQnxUDdPPCN2z4QyezA",5
"8192","HVpwpXneaCWMeEBF7H8jpQ",4
"8223","8cjXEmuqgCbIRudb2D52qw",4
"8284","VGxJbglGlx-a7Gdc55Q6jQ",5
"8305","t_yiQnxUDdPPCN2z4QyezA",3
"8309","GeeR1ScER2WpFoJs1sTjsA",1
"8329","vGCAzbPIcZNkqNkKBbh4Ow",1
"8339","w4MypAX8UIaJq-mhCZBq2A",3
"8343","hcFSc0OHgZJybnjQBrL_8Q",5
"8421","1MrJJ9tyNyfFrxaNZ67xFg",5
"8436","VGxJbglGlx-a7Gdc55Q6jQ",5
"8444","1MrJJ9tyNyfFrxaNZ67xFg",4
"8455","jjBTBObnHrY87qQIMybjzQ",5
"8484","2cetuQgbP1Bnzm-uMRlocQ",2
"8511","hcFSc0OHgZJybnjQBrL_8Q",4
"8543","UPSzbM6D2SkarWAINq1I9A",3
"8573","UPSzbM6D2SkarWAINq1I9A",4
"8588","8cjXEmuqgCbIRudb2D52qw",4
"8629","z9lOfnUorcbWR_xS0DSeHw",5
"8639","t_yiQnxUDdPPCN2z4QyezA",5
"8641","UPSzbM6D2SkarWAINq1I9A",5
"8651","JEqM8xXhKumU5AfhmsiD8w",4
"8661","hcFSc0OHgZJybnjQBrL_8Q",5
"8704","jDZJsIyc3jXjcTtJk_p8ZA",3
"8776","t_yiQnxUDdPPCN2z4QyezA",5
"8784","t_yiQnxUDdPPCN2z4QyezA",5
"8831","HVpwpXneaCWMeEBF7H8jpQ",5
"8850","UPSzbM6D2SkarWAINq1I9A",5
"8858","1MrJJ9tyNyfFrxaNZ67xFg",5
"8903","hcFSc0OHgZJybnjQBrL_8Q",5
"8904","PXKjfPxjJSykV3vN8GAoBQ",5
"8907","1MrJJ9tyNyfFrxaNZ67xFg",1
"8993","HVpwpXneaCWMeEBF7H8jpQ",4
"9007","hcFSc0OHgZJybnjQBrL_8Q",5
"9031","1MrJJ9tyNyfFrxaNZ67xFg",5
"9037","1SJiW_mW6IlEe7hqMTnjYg",4
"9041","ui33pIJmkW0s8HddH_ZZ9A",2
"9045","hcFSc0OHgZJybnjQBrL_8Q",5
"9074","z9lOfnUorcbWR_xS0DSeHw",3
"9120","8cjXEmuqgCbIRudb2D52qw",1
"9160","dRT7tLyakasIjJ4B0Fm92Q",1
"9186","y3vpN6sfipzEpn9Tt5wuog",1
"9190","VGxJbglGlx-a7Gdc55Q6jQ",5
"9192","hcFSc0OHgZJybnjQBrL_8Q",3
"9219","3e0IGa_-zqTemKLc1dbdmg",5
"9228","EVkytEhlC1nswqmgrHdviw",1
"9257","t_yiQnxUDdPPCN2z4QyezA",4
"9266","hcFSc0OHgZJybnjQBrL_8Q",4
"9278","HVpwpXneaCWMeEBF7H8jpQ",5
"9291","jjBTBObnHrY87qQIMybjzQ",5
"9299","hcFSc0OHgZJybnjQBrL_8Q",2
"9304","t_yiQnxUDdPPCN2z4QyezA",4
"9306","JEqM8xXhKumU5AfhmsiD8w",3
"9319","t_yiQnxUDdPPCN2z4QyezA",4
"9326","hcFSc0OHgZJybnjQBrL_8Q",5
"9346","z9lOfnUorcbWR_xS0DSeHw",5
"9351","UPSzbM6D2SkarWAINq1I9A",5
"9384","t_yiQnxUDdPPCN2z4QyezA",5
"9395","sfd19Wo_7g2TwaoJmA9B8A",4
"9396","z9lOfnUorcbWR_xS0DSeHw",4
"9425","8cjXEmuqgCbIRudb2D52qw",3
"9453","2cetuQgbP1Bnzm-uMRlocQ",3
"9460","t_yiQnxUDdPPCN2z4QyezA",4
"9482","UPSzbM6D2SkarWAINq1I9A",5
"9508","ceuvH6NpDhpT1p4q1w93pA",4
"9521","ceuvH6NpDhpT1p4q1w93pA",5
"9525","dRT7tLyakasIjJ4B0Fm92Q",2
"9568","z9lOfnUorcbWR_xS0DSeHw",1
"9579","UPSzbM6D2SkarWAINq1I9A",5
"9586","hcFSc0OHgZJybnjQBrL_8Q",3
"9593","hcFSc0OHgZJybnjQBrL_8Q",2
"9660","hcFSc0OHgZJybnjQBrL_8Q",4
"9673","z9lOfnUorcbWR_xS0DSeHw",5
"9737","VGxJbglGlx-a7Gdc55Q6jQ",5
"9754","1MrJJ9tyNyfFrxaNZ67xFg",2
"9786","UPSzbM6D2SkarWAINq1I9A",4
"9793","1SJiW_mW6IlEe7hqMTnjYg",4
"9803","ceuvH6NpDhpT1p4q1w93pA",5
"9804","t_yiQnxUDdPPCN2z4QyezA",4
"9832","vVdY2qDO7dkUrU8LXYZ1uA",4
"9841","8cjXEmuqgCbIRudb2D52qw",4
"9842","ceuvH6NpDhpT1p4q1w93pA",4
"9883","dRT7tLyakasIjJ4B0Fm92Q",3
"9921","hcFSc0OHgZJybnjQBrL_8Q",4
"9923","vVdY2qDO7dkUrU8LXYZ1uA",5
"9949","2cetuQgbP1Bnzm-uMRlocQ",5
"9986","t_yiQnxUDdPPCN2z4QyezA",5
"10009","GeeR1ScER2WpFoJs1sTjsA",1
"10013","UPSzbM6D2SkarWAINq1I9A",5
"10017","t_yiQnxUDdPPCN2z4QyezA",4
"10026","t_yiQnxUDdPPCN2z4QyezA",5
"10037","hcFSc0OHgZJybnjQBrL_8Q",4
"10046","8cjXEmuqgCbIRudb2D52qw",4
"10112","jDZJsIyc3jXjcTtJk_p8ZA",3
"10134","t_yiQnxUDdPPCN2z4QyezA",4
"10155","8cjXEmuqgCbIRudb2D52qw",2
"10201","hcFSc0OHgZJybnjQBrL_8Q",5
"10204","hcFSc0OHgZJybnjQBrL_8Q",4
"10206","hcFSc0OHgZJybnjQBrL_8Q",5
"10213","owV0aSgh4t_9aG56iPxGEw",2
"10229","UPSzbM6D2SkarWAINq1I9A",4
"10258","hcFSc0OHgZJybnjQBrL_8Q",3
"10291","sfd19Wo_7g2TwaoJmA9B8A",5
"10305","UPSzbM6D2SkarWAINq1I9A",4
"10360","8AAQha5aPcqR4ml_U6ZOlg",2
"10365","t_yiQnxUDdPPCN2z4QyezA",5
"10406","ba2xyZXG8hRb3hh7uDZs_g",5
"10421","ceuvH6NpDhpT1p4q1w93pA",4
"10465","hcFSc0OHgZJybnjQBrL_8Q",4
"10474","sCLXU9ehXMNsodcZqXKNZA",2
"10524","jDZJsIyc3jXjcTtJk_p8ZA",2
"10551","z9lOfnUorcbWR_xS0DSeHw",4
"10562","2cetuQgbP1Bnzm-uMRlocQ",3
"10566","jjBTBObnHrY87qQIMybjzQ",4
"10573","hcFSc0OHgZJybnjQBrL_8Q",5
"10583","t_yiQnxUDdPPCN2z4QyezA",4
"10639","t_yiQnxUDdPPCN2z4QyezA",2
"10641","hcFSc0OHgZJybnjQBrL_8Q",4
"10649","hcFSc0OHgZJybnjQBrL_8Q",3
"10693","1MrJJ9tyNyfFrxaNZ67xFg",4
"10837","P3dBcZh_Hmr1wVWFZn2b-g",5
"10866","lWk3vNrOIFTbUwEZBkY2wg",2
"10918","UPSzbM6D2SkarWAINq1I9A",4
"10929","t_yiQnxUDdPPCN2z4QyezA",5
"10949","hcFSc0OHgZJybnjQBrL_8Q",5
"10950","hcFSc0OHgZJybnjQBrL_8Q",2
"11005","1MrJJ9tyNyfFrxaNZ67xFg",2
"11043","EVkytEhlC1nswqmgrHdviw",1
"11052","z9lOfnUorcbWR_xS0DSeHw",5
"11086","t_yiQnxUDdPPCN2z4QyezA",4
"11092","hcFSc0OHgZJybnjQBrL_8Q",4
"11099","hcFSc0OHgZJybnjQBrL_8Q",3
"11171","hcFSc0OHgZJybnjQBrL_8Q",4
"11204","riXr33UJRQXVMKJcNZPqqw",1
"11225","owV0aSgh4t_9aG56iPxGEw",2
"11252","y3vpN6sfipzEpn9Tt5wuog",5
"11258","t_yiQnxUDdPPCN2z4QyezA",5
"11275","hcFSc0OHgZJybnjQBrL_8Q",5
"11282","1MrJJ9tyNyfFrxaNZ67xFg",3
"11300","OyBStpjF5e_iRCMXflFasQ",3
"11320","t_yiQnxUDdPPCN2z4QyezA",1
"11356","8cjXEmuqgCbIRudb2D52qw",4
"11383","sfd19Wo_7g2TwaoJmA9B8A",5
"11420","UPSzbM6D2SkarWAINq1I9A",4
"11428","hcFSc0OHgZJybnjQBrL_8Q",5
"11458","2cetuQgbP1Bnzm-uMRlocQ",2
"11503","owV0aSgh4t_9aG56iPxGEw",5
"11596","OyBStpjF5e_iRCMXflFasQ",3
"11606","hcFSc0OHgZJybnjQBrL_8Q",4
"11608","vGCAzbPIcZNkqNkKBbh4Ow",3
"11660","t_yiQnxUDdPPCN2z4QyezA",5
"11690","t_yiQnxUDdPPCN2z4QyezA",3
"11692","UPSzbM6D2SkarWAINq1I9A",4
"11700","t_yiQnxUDdPPCN2z4QyezA",5
"11701","hcFSc0OHgZJybnjQBrL_8Q",2
"11742","8ZL4ed3Y8_F6AgPAYxgi2g",3
"11753","t_yiQnxUDdPPCN2z4QyezA",4
"11771","hcFSc0OHgZJybnjQBrL_8Q",5
"11792","t_yiQnxUDdPPCN2z4QyezA",5
"11800","hcFSc0OHgZJybnjQBrL_8Q",3
"11861","8cjXEmuqgCbIRudb2D52qw",5
"11920","2cetuQgbP1Bnzm-uMRlocQ",5
"11997","XhMfL-6lt-prYyC9Lp02gg",4
"12040","dRT7tLyakasIjJ4B0Fm92Q",4
"12055","UPSzbM6D2SkarWAINq1I9A",5
"12056","JEqM8xXhKumU5AfhmsiD8w",5
"12066","ceuvH6NpDhpT1p4q1w93pA",4
"12119","hcFSc0OHgZJybnjQBrL_8Q",4
"12130","t_yiQnxUDdPPCN2z4QyezA",5
"12146","owV0aSgh4t_9aG56iPxGEw",4
"12188","t_yiQnxUDdPPCN2z4QyezA",4
"12198","UPSzbM6D2SkarWAINq1I9A",3
"12207","t_yiQnxUDdPPCN2z4QyezA",5
"12237","vVdY2qDO7dkUrU8LXYZ1uA",1
"12287","hcFSc0OHgZJybnjQBrL_8Q",5
"12311","1MrJJ9tyNyfFrxaNZ67xFg",4
"12319","t_yiQnxUDdPPCN2z4QyezA",4
