"","business_id","name","address","city","state","postal_code","latitude","longitude","stars"
"1645","jjBTBObnHrY87qQIMybjzQ","Blue Jade","7080 Engle Rd, Ste B","Cleveland","OH","44130",41.3746218,-81.8257664,3.5
"1664","vGCAzbPIcZNkqNkKBbh4Ow","Dragon Town","503 Lincoln Ave","Bellevue","PA","15202",40.4954484,-80.0558941,3
"1811","sCLXU9ehXMNsodcZqXKNZA","King China Buffet","5983 Andrews Rd","Mentor-on-the-Lake","OH","44060",41.7071053,-81.3612821,3
"1865","WTluJrwTxVxZkXovV6cnnQ","Panda Express","7223 McKnight Rd","Pittsburgh","PA","15237",40.536824,-80.012042,3
"1995","MFbTdZe4Aby_0UbWWsfl6Q","Food King","1733 Pearl Rd, Ste 115","Brunswick","OH","44212",41.2281456,-81.8397961,4
"2104","3e0IGa_-zqTemKLc1dbdmg","Phusion Cafe","11611 Euclid Ave","Cleveland","OH","44106",41.5109853006,-81.6030496359,4
"2130","qAzOcHnWerREl678su-p0A","Asian Garden","4136 Library Rd","Pittsburgh","PA","15234",40.358953,-80.029218,2.5
"2189","8AAQha5aPcqR4ml_U6ZOlg","China Star","1308 Copley Rd","Akron","OH","44320",41.0841653,-81.5690901,2.5
"2218","UPSzbM6D2SkarWAINq1I9A","Taydo Vietnamese & Chinese Restaurant","11725 Snow Rd","Parma","OH","44130",41.4042964,-81.7697802,4
"2335","-XH3-e3jDVdjHJq7GfNY7w","Asian Taste Restaurant","502 E John St","Champaign","IL","61820",40.1092811348,-88.2313949615,3.5
"2415","XhMfL-6lt-prYyC9Lp02gg","Best Wok Chinese","7671 W Ridgewood Dr","Cleveland","OH","44129",41.383402,-81.737832,4
"2440","D2eZD_MP8Ds32rkoVI_MBQ","Shanghai Wok by B & Y","10424 Northfield Rd","Northfield","OH","44067",41.3423913196,-81.5295235813,3.5
"2441","Q3zZTpHQBSbiPq2lLaTtgw","Sichuan Palace","60 Federal Dr","Pittsburgh","PA","15235",40.4623662678,-79.8267316637,4
"2480","JEqM8xXhKumU5AfhmsiD8w","Bean Curd Chinese Restaurant","4147 Washington Rd","Canonsburg","PA","15317",40.262569,-80.132092,4
"2533","t_yiQnxUDdPPCN2z4QyezA","Golden Harbor Authentic Chinese Cuisine","505 S Neil St","Champaign","IL","61820",40.1110535,-88.2441408,4.5
"2560","EVkytEhlC1nswqmgrHdviw","Bo Bo China","404 E Green St","Champaign","IL","61820",40.1104457,-88.2330726,2.5
"2588","dRT7tLyakasIjJ4B0Fm92Q","Dean's House","14393 Pearl Rd","Strongsville","OH","44136",41.309764,-81.834169,3
"2602","ui33pIJmkW0s8HddH_ZZ9A","Wild Fusion","3815 Center Rd","Brunswick","OH","44212",41.238834,-81.82297,4
"2606","ceuvH6NpDhpT1p4q1w93pA","Orient House","626 S Park St","Madison","WI","53715",43.0603664,-89.4010906,3.5
"2673","VGxJbglGlx-a7Gdc55Q6jQ","Katana","3229 W Liberty Ave","Pittsburgh","PA","15216",40.3899009,-80.0406617,3
"2696","1MrJJ9tyNyfFrxaNZ67xFg","Silk Road Gourmet Chinese","5301 Grove Rd, Ste 1","Pittsburgh","PA","15236",40.3591070736,-80.0020897818,4
"2721","GeeR1ScER2WpFoJs1sTjsA","Panda Express","1401 Center Rd","Avon","OH","44011",41.4691486288,-82.0192191362,2.5
"2727","Ks7EuyQVI2JEif4Xp70MmA","China House","104 Front St","Berea","OH","44017",41.36819,-81.852802,3
"2747","w4MypAX8UIaJq-mhCZBq2A","Hong To Chinese Restaurant","4905 Robinhood Dr","Willoughby","OH","44094",41.6262114,-81.42652,3.5
"2774","PXKjfPxjJSykV3vN8GAoBQ","China House","5513 William Flynn Hwy, Ste 600","Gibsonia","PA","15044",40.6271469,-79.9425004,4
"2779","3Esl4FVI9Rzl_KSmIiMgaw","Jackie Chen Wok","2756 Van Aken Blvd","Cleveland","OH","44120",41.4828477,-81.5888412,3.5
"2786","lWk3vNrOIFTbUwEZBkY2wg","Peking House","2550 Brownsville Rd","South Park","PA","15129",40.2935766,-79.9965838,3.5
"2788","jDZJsIyc3jXjcTtJk_p8ZA","Orient Express","4609 Forbes Ave","Pittsburgh","PA","15213",40.4446795,-79.9481851,3
"2848","vVdY2qDO7dkUrU8LXYZ1uA","Green Jade","1109 W Windsor","Champaign","IL","61821",40.0831798963,-88.2643084814,4
"3039","z9lOfnUorcbWR_xS0DSeHw","Fugu","411 W Gilman St","Madison","WI","53703",43.074392,-89.3936635,3.5
"3093","sfd19Wo_7g2TwaoJmA9B8A","Hunan Coventry","1800 Coventry Rd","Cleveland Heights","OH","44118",41.5103685019,-81.5802007953,3
"3109","zRBDq7hLQevQXeZAGRkRCA","China King 1","375 Lear Rd","Avon Lake","OH","44012",41.4948525,-81.9860854,3.5
"3368","ba2xyZXG8hRb3hh7uDZs_g","New Chinatown Buffet","5234 Cobblestone Rd","Sheffield Village","OH","44035",41.419496,-82.0811004,3
"3393","w65C613GYsoSzk9HGY3Y8w","China House","160 Main St","Painesville","OH","44077",41.725564,-81.2417177,3.5
"3554","hcFSc0OHgZJybnjQBrL_8Q","Everyday Noodles","5875 Forbes Ave","Pittsburgh","PA","15217",40.438262,-79.920082,4
"3593","8cjXEmuqgCbIRudb2D52qw","Nani Restaurant","518 Grand Canyon Dr","Madison","WI","53719",43.0551558,-89.497509,3.5
"3683","P3dBcZh_Hmr1wVWFZn2b-g","Hunan Chinese Restaurant","1136 E Thorn Run Rd","Coraopolis","PA","15108",40.505778,-80.2095604,3.5
"3692","1SJiW_mW6IlEe7hqMTnjYg","China Wok","3006 Broadview Rd","Cleveland","OH","44109",41.44045,-81.702275,4
"3759","JJi7c7uiTzCqeWNTsldgXQ","Red Tea House","1717 Cochran Rd","Pittsburgh","PA","15220",40.3918384617,-80.0670470873,4
"3815","ltqvLrYq9QjeQjQ1NlqLcA","Ming Garden","1804 Sangamon Dr","Champaign","IL","61821",40.1025734113,-88.277292841,3
"3859","OPIX1wTOll0aZT08Wr6sDw","China Dragon","3468 Mayfield Rd","Cleveland","OH","44118",41.51628,-81.55327,3.5
"3865","rQ6C54q1N2iq9iDKSA3QGA","New Dragon Express","3127 Washington Pike, Ste 100","Bridgeville","PA","15017",40.3473524,-80.11261,3.5
"3907","eab04KSBbf30FqB4cH8erQ","Umami Ramen & Dumpling Bar","923 Williamson St","Madison","WI","53703",43.0798377,-89.3687295,3.5
"3911","egxK8E9T6MWLxJyD_iCIVQ","China Palace","409 Broad St","Sewickley","PA","15143",40.5398354576,-80.1812363073,3
"3929","-R_dMb9Z1eBv_FlYZrrKbw","Oriental Wok","532 S Park St","Madison","WI","53715",43.0611378,-89.4010411,2.5
"3953","AV72aytrW-z787seJAku2w","Chopsticks Express","8800 Day Dr","Parma","OH","44129",41.3809254,-81.7460113,4
"4040","KzLjbXEDH1e1WrfzrrzZKw","Mandarin Gourmet","305 Wood St","Pittsburgh","PA","15222",40.4391496,-80.0017417,3
"4076","jTRKHyPmR5RwHVsqmhPTwg","Jade Chinese Kitchen","14421 Cedar Rd","South Euclid","OH","44121",41.5017074,-81.5205765,4
"4082","E4HlcOykIxIDiJyUKO-eIg","Chang Jiang Restaurant","3195 Muir Field Rd","Madison","WI","53719",43.0162232238,-89.5103274509,2.5
"4090","Lw2vlPixPe72lDp9Cx6GoA","Wang's Kitchen","3625 Brownsville Rd","Pittsburgh","PA","15227",40.37317,-79.97514,4
"4137","cGuUEFw374zfpr3Cp8ywJw","Shanghai 1938","200 S Matthews","Urbana","IL","61801",40.1108998121,-88.225634608,2
"4143","dazGlP4Rk4nxlyMtlvkpvA","Dragon I","422 State St","Madison","WI","53703",43.075006,-89.3921359,2.5
"4148","S6dARuOrrOXd4xSiTHti8g","Chengdu Gourmet","5840 Forward Ave","Pittsburgh","PA","15217",40.4295421035,-79.9223725553,3.5
"4160","xXGRRmCIf6t6Bn-NvxHYwA","Foo Sing","25102 Brookpark Rd, Ste 130","North Olmsted","OH","44070",41.4193581,-81.8968105,3.5
"4169","rXKzE4Iraz7vGWovWW-aBA","Yuzu Kitchen","409 Wood St","Pittsburgh","PA","15222",40.439707,-80.001261,4
"4312","xONNOYgT5BBJj_EVJBMghQ","China Garden","90 Malts Ln","Irwin","PA","15642",40.33327,-79.744246,4.5
"4366","QbuWKli8fme4O84t99UfSg","The Mintt","3033 Banksville Rd","Pittsburgh","PA","15216",40.4012123,-80.0423887,3.5
"4388","FNf9Q2FnB9sI9kOMAgj0AQ","Golden Star","4655 William Flynn Hwy","Hampton Township","PA","15101",40.5905329,-79.9483052,3.5
"4411","dY_oOCE3fU50zs97SVRlrg","Hong Kong Restaurant","5855 Smith Rd","Brook Park","OH","44142",41.4045465,-81.8040407,3.5
"4460","VBxKOEdjg7ryuA2Ni080rA","China Town 1","3718 Pearl Rd","Cleveland","OH","44109",41.4540638,-81.701891,4.5
"4572","hSfsnEa9q1Xx-0lAYDTLGw","Chang Jiang Chinese Restaurant","1200 Springdale St","Mount Horeb","WI","53572",43.0107265335,-89.72526337,3.5
"4574","mpG1R1ktTI3x1twNBsGvXQ","Blue Ginger Asian Bistro","1061 W Pleasant Valley Rd","Parma","OH","44134",41.3598122952,-81.6856487672,4
"4646","v2a8hI1Tsi1SgFKFWD39qQ","Wasabi Restaurant","2123 E79th St","Cleveland","OH","44103",41.5006633,-81.6332655,4.5
"4660","15RvAvPxUBl3HmnGMJdtTQ","Osaka Sushi & Chinese Restaurant","2101 Green Tree Rd","Pittsburgh","PA","15220",40.3907468,-80.0704386,3.5
"4667","ccdcyzc1oSucd-qRlnYR0w","New China Inn","4609 Centre Ave","Pittsburgh","PA","15213",40.4521688,-79.9516977,2.5
"4902","wCB9mquz6W0ZuO5pPZXeDg","Lao Sze Chuan Chinese Restaurant","608 E University Ave, Ste 105","Champaign","IL","61820",40.1166544,-88.229763,3.5
"5027","Rmdv8qikuGCecgRGVPWMQA","China House","425 Water St, Ste 12","Chardon","OH","44024",41.5796651,-81.2109982,4
"5040","aC9D8lFr5k9pWU0IBdEb0g","Chang Jiang Chinese Kitchen","631 S Main St","De Forest","WI","53532",43.2394189,-89.3425469,3
"5044","79G_4PgWIO1BPve3D1tD_Q","New Ming Restaurant","1590 S Hawkins Ave","Akron","OH","44320",41.065849,-81.570248,2.5
"5065","BQasaL9XWUhlFndmKYtMHw","New Gum Do","5755 Royalton Rd","North Royalton","OH","44133",41.31346,-81.725763,3.5
"5094","kF1Rr2bMPujucUihlitT2g","Asia Garden","19648 W 130th St","Strongsville","OH","44136",41.2781816355,-81.7852382394,4
"5121","5L-dBWit8Y90bnP3nsAauQ","China Bay","478 N Abbe Rd","Elyria","OH","44035",41.387391,-82.078457,4.5
"5125","GKmbGnQ2WmlU7ntVPI4mYA","Golden Crown Chinese Restaurant","2292 Kresge Dr","Amherst","OH","44001",41.4166352,-82.207212,4
"5258","nZRJu778hO66F11QUS53nA","Li Garden Restaurant","34650 Vine St","Willowick","OH","44095",41.64082,-81.4416804,4
"5268","BT8bk6rOQ4kj8TD-hfepGQ","China Star","5194 Detroit Rd","Sheffield Lake","OH","44034",41.4249232,-82.0813203,3
"5297","hMgIF04rrJ7oB1lGIpFt5w","South China Restaurant","25 E Springfield Ave","Champaign","IL","61820",40.112114,-88.241292,3.5
"5355","tVcnGCg8AICT_hoI-4gMsw","Szechuan Garden","6654 Mineral Point Rd","Madison","WI","53705",43.061601,-89.4965481,4.5
"5499","jtvy90-8KNih9-LanDTiOg","Pacific East Japanese And Maylaysian","100 E Main St","Kent","OH","44240",41.1535545,-81.3580092,4
"5501","EY37X3ESjNu14g9Xe4lyFQ","Manchu Wok","46402 Middleridge Rd","Amherst","OH","44001",41.3799654,-82.2240315,1
"5531","kD1u5HwZpWOH2bAU_W0ARQ","Peking Chinese","5900 Som Center Rd, Ste 11","Willoughby","OH","44094",41.6072477,-81.4411265,3.5
"5581","v8jZKf_YN7ayVy6ksyoiKg","Bamboo Garden","1720 Greensburg Ave","North Versailles","PA","15137",40.386652,-79.821246,3
"5596","g74ClehJVU5h-29-Bx5xwQ","King Dragon","3310 Kent Rd","Stow","OH","44224",41.1586848,-81.4416184,4
"5622","jKJr7aPdTZ5kiQw0g40yJQ","King Yuan","35840 Chester Rd, Unit 4","Avon","OH","44011",41.4683699,-82.0155941,3.5
"5676","iT9KMTR8NqYwSCW-zMUOxw","Tai Pei","1124 Freeport Rd","Pittsburgh","PA","15238",40.4876529256,-79.8806163564,3.5
"5766","Bfh_ON-LQUcJerjcDF5KNA","Best Wok","907 W Marketview Dr, Ste 8","Champaign","IL","61822",40.137698,-88.260784,3
"5774","mchIGapc-1lRQKcsZhD93A","Panda Restaurant","846 5th Ave","New Kensington","PA","15068",40.5647288,-79.7647173,4.5
"5805","wftmt-n8OUA4Ng3bWWH5dw","Wonton Gourmet & BBQ","3211 Payne Ave","Cleveland","OH","44114",41.5089027,-81.6662795,4.5
"6006","wrV2yRrSAoVeXpvR7n-czA","China One","11708 Buckeye Rd","Cleveland","OH","44120",41.480668,-81.6014399,3
"6153","jhP9rUsV-KvgHu1n--7Q3w","Khoo's Garden","1130 Perry Hwy, Ste 26","Pittsburgh","PA","15237",40.5477169,-80.0355297,3.5
"6233","gTRTzLhbl2uDd_JvB4PsyQ","China Palace","4059 William Penn Hwy","Monroeville","PA","15146",40.4403653,-79.7697106,3.5
"6239","6_7_aSycZlRsfKENFiIi6g","Happy Wok","17 Eastpark Ct","Madison","WI","53718",43.147082,-89.287972,3.5
"6250","RNkVt3T_3DQjXbXTM2DIjg","China Chef","33382 Walker Rd, Ste F","Avon Lake","OH","44012",41.4940518,-82.0442893,3
"6283","vYRxMRpdUES85ZEpiQwjgg","Chopstick House","2798 Robinson Blvd","Pittsburgh","PA","15235",40.4604599,-79.8655148,4
"6336","xDnkfWCyaUdR6iMoxnuWyg","Dagu Rice Noodle","3710 Payne Ave","Cleveland","OH","44114",41.5095919,-81.662275,4.5
"6364","A8jt8v7bixb_DswY2uJQaw","Red Bowl","28500 Miles Rd","Solon","OH","44139",41.4235764,-81.4774021,3.5
"6403","4jO_VdrdM3OFGr9VDkySPA","Black Mountain Spirit School of Chinese Kung Fu","107 E 8th Ave","Homestead","PA","15120",40.4062449,-79.9119803,3.5
"6405","h0kDxnRpBXyJ1v17uSDnzw","China Garden","14867 Detroit Ave","Lakewood","OH","44107",41.4843352,-81.8011668,3
"6413","XuxMAIKquXNe6fy0-HmZ8A","Asian Chao","26300 Cedar Rd","Beachwood","OH","44122",41.498488,-81.4941423,4
"6541","TE5K9GVy9rKrovzUBOefYg","Perspectives Wellness","24800 Chagrin Blvd, Ste 303","Beachwood","OH","44122",41.4638463,-81.5034119,5
"6643","gGeC3-QX-ZH1kxnpmUwQ9A","China House","2001 Lincoln Way, Ste 9","White Oak","PA","15131",40.3359617418,-79.8044264784,2.5
"6677","yBHltbm3DqNaKgBgTMpxsA","Happy Buddha Cafe","2173 S Green Rd","Cleveland","OH","44121",41.5006901722,-81.518359211,4
"6735","4_sXnBAHU3lGxVfPUn0CNQ","Number 1 Kitchen","10670 Lorain Ave","Cleveland","OH","44111",41.465858,-81.761293,2
"6837","i4CF-bIEfNeYoQ87klS78Q","Benichopsticks Restaurant","1025 Waterdam Plz, Unit D","Canonsburg","PA","15317",40.262821,-80.133828,3.5
"6840","1LqshDanHwtKeX--X0hbwQ","Win-Win Kung Fu","2713 Murray Ave","Pittsburgh","PA","15217",40.4285392,-79.9243555,5
"6886","BrORoLCE5zVY6ekUb6omNA","Mad Noodles","2017 E Carson St","Pittsburgh","PA","15203",40.4287193,-79.9769083,3.5
"6891","_VYUU5HPLYasd-xdKLimNA","Castle Place Chinese Restaurant","331 Mount Lebanon Blvd","Pittsburgh","PA","15234",40.369991,-80.034378,4
"6970","OaHJvi10dJbMIaQXg5e2Ag","Nam Wah Chinese Vietnamese","392 W Bagley Rd","Berea","OH","44017",41.373633,-81.867219,4.5
"7001","PhNdyQTtZjOQ1bqoT4S3oA","China Bay","6820 Biddulph Rd","Cleveland","OH","44144",41.431217,-81.7332203,4
"7039","W7KtVjq4R_5F5EwbCBENQw","Golden Kitchen","402 W Center St","Monticello","IL","61856",40.028317,-88.574491,4.5
"7041","-cnAmACYQpwRyfjuZHay3w","China Wok","8021 Broadview Rd","Broadview Heights","OH","44147",41.347579,-81.6839395432,3
"7057","dF-_fcrNyk4iZ5Pc1mr-wA","Jade Tree Chinese Cuisine","7673 Mentor Ave","Mentor","OH","44060",41.6596835,-81.3673637,4
"7115","p2RqycIW2jzjbQnkEw5lkA","Noodles & Company","6520 Monona Dr At Pier 37","Monona","WI","53716",43.0470458,-89.3239739,2.5
"7183","QdganL5AW9E_fNoRVroLig","Golden Wok","405 E University Ave","Champaign","IL","61820",40.1160086,-88.2328539,4
"7211","MA465c4XL7_m9p_6_ztRsw","Me Lyng Restaurant","213 W 8th Ave","West Homestead","PA","15120",40.405053,-79.913952,3.5
"7272","HzE3NnlAzIcqiHDydpvzrQ","P.F. Chang's","3265 W Market St, Ste 100A","Akron","OH","44333",41.132856,-81.616873,3
"7352","ijY4C4ut4M9xg3QvK2R2pg","Li Wah","2999 Payne Ave, Ste 102","Cleveland","OH","44114",41.5083668054,-81.6693706559,3.5
"7439","iH-BDuPiIV1Eag82oqXmAQ","Frankie's Wok","8926 Brecksville Rd","Brecksville","OH","44141",41.3192925,-81.6271283,4
"7466","ZKBUoCqTpwMtmImz64DGyQ","Hong Kong Express II","529 Ct Pl","Pittsburgh","PA","15219",40.437018,-79.997166,3.5
"7496","FqOjyZyVpIloRpoipoM1qw","Ming Moon Chinese Restaurant","12758 Royalton Rd","North Royalton","OH","44133",41.3154447,-81.783175,3
"7575","mdNbptkRKH1Jj2iRqBgq_g","Golden Bowl","649 Chestnut Commons Dr","Elyria","OH","44035",41.3470428862,-82.0669480786,4
"7625","2Z6FGB5vfbSrvNyeXTqARg","Cleveland Acupuncture","25200 Chagrin Blvd, Ste 103","Beachwood","OH","44122",41.4639256,-81.500532,4.5
"7702","o2UAUbXSNRrqleXtSMLniA","Forever Rosemary","472 44th St","Pittsburgh","PA","15201",40.4665086,-79.9539413,2
"7803","YZItTPlVWeq13bfAJtT2-g","China House II","7400 Church St","Swissvale","PA","15218",40.4214683,-79.8898717,3
"7813","QmNrHxN7UahtdliH_kAuUg","Ka Mei","2209 Murray Ave","Pittsburgh","PA","15217",40.4324863,-79.9228558,3.5
"7818","1p5izA5Py5zN7CuNAxPkvw","No. 1 Chinese Restaurant","27333 Detroit Rd","Westlake","OH","44145",41.4665,-81.923267,2.5
"7863","LLGGe9k7NTVy1Z2wH1_Uew","Tong's Cuisine","228 Semple St","Pittsburgh","PA","15213",40.4394597,-79.9581963,3.5
"7908","Lku_keJf44D0LxbRAIZOcg","QQ Express","1401 University Ave","Madison","WI","53715",43.0732593799,-89.4093034789,3.5
"7917","qwkzD5_OjQ2eYv0EIKxV_g","Fu Sheng","4071 Lee Rd, Ste 160","Cleveland","OH","44128",41.448844,-81.563472,2.5
"7932","ndq4rJcFLMbMGU_gK5u79Q","China Wok","1202 5th Ave","Pittsburgh","PA","15219",40.4384747,-79.9887883,3
"7974","CvP516pjOdcJJkaMjl8rPw","China Kitchen II","5607 Turney Rd","Cleveland","OH","44125",41.4105627,-81.6008417,3.5
"8016","AQ76VSVrSPajc2qFZDmzeg","Panda Express","106 E University Ave","Urbana","IL","61801",40.1168417,-88.206665,3
"8186","4rSHsXO4ozQoD0hoPCDatQ","China Express","13621 Detroit Ave","Lakewood","OH","44107",41.4851133,-81.7872673,2.5
"8192","6lgkTtACpJR5Kijkc050KQ","Dragon Garden Restaurant","9415 Olde 8 Rd","Northfield","OH","44067",41.3162454,-81.5385224,3.5
"8205","M7SEPUqtCFtZJ8O8hFGY4A","Panda Express","3244 Steelyard Dr","Cleveland","OH","44109",41.4655173,-81.6875202,2.5
"8237","Iy-UNkwa3j9MSeG_SZhUvg","Jennifer Whiteside","2008 Murray Ave, Ste B","Pittsburgh","PA","15217",40.4344721,-79.923045,5
"8357","M6BiGk76UgrYBM2sGPusUA","Maing Wok Kitchen","35085 Center Ridge Rd","North Ridgeville","OH","44039",41.3928108,-82.0063744,2.5
"8366","gnqHyA6gY2-m9S-FKt6Xqw","Cravings","603 S Wright St","Champaign","IL","61820",40.1112203703,-88.2290604075,4
"8414","5Y-p9QJLrg2P0I8RjJ9TTQ","Chang Jiang","4929 Commercial Ave","Madison","WI","53704",43.1056341465,-89.2967010739,3
"8425","hMTzciZhfmugG2EVAPANcg","Golden Wok Inn","4976 Library Rd","Bethel Park","PA","15102",40.3429128,-80.0273109,3.5
"8501","t_SvwKRaMyNHj2NOMvMv1Q","Phoenix Express","3063 Graham Rd","Stow","OH","44224",41.1670585223,-81.4041273578,4.5
"8516","9X3XAKb51B4meUDC_NFnsA","Golden Dragon Chinese Restaurant","114 Tropiano Ln","Irwin","PA","15642",40.3245138,-79.7011549,5
"8631","bD_vqSSU_abcCT0oCzN1xA","Wok of Life","","Pittsburgh","PA","15212",40.4828051,-80.0367259,2.5
"8677","bO3VN1ct-6zD8Pd0AS38rg","Wai Wai Buffet & Grill","113 Cavasina Dr, Ste 8","Canonsburg","PA","15317",40.2634203,-80.1738365,2
"8766","YU7KZJP0LsLcvU4eIHhtfw","Hunan Wok Chinese Restaurant","1822 Homeville Rd","West Mifflin","PA","15122",40.365078,-79.8718048,3.5
"8963","fjE-jiwnTQysz-rLl6YMQg","Amazing Wok","2910 W Liberty Ave, Ste 1","Pittsburgh","PA","15216",40.3948671,-80.0347286,4
"9191","p2X4WdGMsi26t_6hN3Hz4w","Mekong Restaurant","1429 Potomac Ave","Pittsburgh","PA","15216",40.395543,-80.034904,3.5
"9226","rcnjeruxT_-zThMekbMUbA","Panda Express","2855 State Road","Cuyahoga Falls","OH","44223",41.149599,-81.5079981,2.5
"9363","tHsrPOEx-VY6a6urWWT0Xw","Lily Chinese Restaurant","27091 Bagley Rd","Olmsted Township","OH","44138",41.3719855,-81.9424849,2
"9374","U6ure4FjwC9lOKmlZw6gTQ","Chang Jiang","984 W Main St","Sun Prairie","WI","53590",43.1816362,-89.2294487,3.5
"9428","dHJ4PT5C9mr6QPs4o_DaSA","Golden Dragon","1634 State Rd","Cuyahoga Falls","OH","44223",41.1278723,-81.5087648,3.5
"9441","sAhKuHKCKu9p8gy9vVsXnA","Hundred Flowers","28898 Lake Shore Blvd","Willowick","OH","44095",41.629209,-81.483417,3
"9537","php_sWMWyXs7Qi5UyTUrLg","Asian Star","182 Ohio River Blvd","Leetsdale","PA","15056",40.559405,-80.205455,3.5
"9723","UzW_6PaLFzPjP7_2Czk3Wg","China King Chinese Restaurant","1120 Pearl Rd","Brunswick","OH","44212",41.2447894,-81.8417745,3.5
"9730","dqnShtl304m2oO1Nel5GSg","Feet Paradise Reflexology","2024 Murray Ave","Pittsburgh","PA","15217",40.434066,-79.9230427,4.5
"9772","xMn3YvKFLqpBab0icUou1g","Chen's Dumpling House","505 State St","Madison","WI","53703",43.0746589,-89.3939651,4
"9809","sOaeX1zQWuqbPcclvjtdeA","P.F. Chang's","26001 Chagrin Blvd","Beachwood","OH","44122",41.4650887865,-81.4937630296,3
"10026","keQlXWfz2K7GukqaReVyow","Ichiban Sichuan","610 S Park St","Madison","WI","53715",43.060654,-89.4011292,3.5
"10059","m5t6Ork5uMHRvIlCmP6ULQ","China Chef","6328 Pearl Rd","Cleveland","OH","44130",41.3887888,-81.7646407,3
"10146","4wzfwVrijdT--mWTESjw9g","China King","205 W Warren St","Saint Joseph","IL","61873",40.1129997,-88.0422169,4
"10169","R-nmyxEGu4fYGJ2JFbMwlQ","China House","10571 Saint Clair Ave","Cleveland","OH","44108",41.5400845,-81.613517,3
"10237","Wqdws1zeQYTzV_7jq1a0hw","Don Don Chinese Restaurant","146 E Main St","Carnegie","PA","15106",40.4079873,-80.0857029,3
"10360","QeJAGJNbaqFuMusPTCoBMA","HuHot Mongolian Grill","190 N Grand Ave","Sun Prairie","WI","53590",43.177678,-89.265592,3
"10450","hQMx2ZbGAa_oxJNpnTZf8Q","The Diner","105 Clinton Ave","Oakdale","PA","15071",40.3984122,-80.1862539,3.5
"10451","CQJGl8n0wqL8WSEsG_yqDg","China King","7087 Brecksville Rd","Independence","OH","44131",41.3697164,-81.6375212,3
"10473","uoV4aDfXbRmvyHSezdn--w","Tai's Asian Bistro","638 S Whitney Way","Madison","WI","53719",43.051829081,-89.4757021905,3.5
"10606","VHtYVZN4-85odLn1T6Z_nA","Malaxiangguo","3608 Fifth Ave","Pittsburgh","PA","15213",40.441333,-79.9586691,3.5
"10641","Z5T-muBHTERxj3jFqhiLHw","Zen Restaurant","2181 Hulton Rd","Verona","PA","15147",40.5262656025,-79.8174745962,4
"10843","1Vbt1GsmtQm2dkC4A2L_-g","Subba Asian Restaurant","700 Cedar Ave","Pittsburgh","PA","15212",40.4534380276,-80.0016119968,4
"11010","8C65DwwnazwYB2z9naHyaw","Golden Mountain Restaurant","27910 Chardon Rd","Willoughby Hills","OH","44092",41.5823398,-81.4842591,3
"11037","bRy4yyU0XXcOJRX5tGQ_dg","Little Hong Kong","34137 Center Ridge Rd","North Ridgeville","OH","44039",41.3975557,-81.9949385,4
"11108","35AWV2l8s2DbBxKbexPU7A","Chang Jiang","2935 S Fish Hatchery Rd","Fitchburg","WI","53711",43.0144898,-89.4274581,3
