"","sweet","spicy","bitter","salty","bland","sour","crispy","chicken","fish","beef","soup","tea"
"T8woT2yQjCuqwexlbxMR4A",1,0,0,0,0,0,0,0,1,0,1,0
"dY6BsnltvKABWdn6m-_JUA",0,0,0,0,0,0,0,1,0,0,0,0
"gwSP6pY35pxYAPRw-zzM2g",0,0,0,2,0,0,2,4,2,1,0,2
"_DmsiOibg0qgJtpMeWXi9w",0,0,0,0,0,0,0,0,0,0,1,0
"PqGPQG6L_nHr2t3cHKtX0g",0,0,0,0,0,0,0,0,0,0,0,0
"Iuu1cyOfOQ6am-KE0vpg8g",0,0,0,0,0,1,0,2,0,0,3,0
"1jNUpNGfIZIby1Wa1SWYOw",0,0,0,0,0,0,0,0,0,0,1,1
"IYpAlZPkfWS19zdOErxNhA",0,0,0,0,0,0,0,0,0,0,0,0
"x8-ysDQdo_zowozWDrxRQw",2,0,1,0,0,1,1,2,1,1,2,0
"KB-wHtQw4C2nbK7tALrGfA",1,0,0,0,0,0,0,0,0,0,0,0
"qqPZGUM5uzIwkzMEjba3fw",0,0,0,0,0,0,0,0,0,0,0,0
"LBYgcCxtrlZoNF2F0NRRkg",0,0,0,0,0,0,0,0,0,0,0,0
"5ZEoKsqG7BpCoZ6S9C4P7Q",0,0,0,0,0,0,1,0,0,0,0,0
"MJdk9fmu643OZ4IXsgyIJw",0,0,0,0,0,0,0,1,0,0,0,0
"9EwE0CMcmuj92yoqOBnWXQ",0,0,0,0,0,0,0,1,0,0,0,0
"u2XV5ZPyFrORU15QFBuc6g",0,0,0,0,0,0,0,0,0,0,0,1
"1OwRUeWJxIOl1pSwOfzY1w",0,0,0,0,0,0,0,0,0,0,0,0
"C4jHXUpac3IalZF1on2EEQ",0,0,0,0,0,0,0,0,0,0,0,0
"gBBMu10xD0duZwaA0RGQKg",0,0,0,0,0,0,0,0,0,0,1,0
"ooy-LOQTyWEUTzUz6v6roQ",1,0,0,0,0,0,0,1,0,0,0,3
"NBdeIaIk-3-i6e7AOZ6rWg",0,0,0,0,0,0,0,0,0,0,0,2
"i7sBEZocjeDtTy-sbibmxA",0,0,0,0,0,0,0,0,0,1,0,0
"fOf_IDItuQxTda6Lpcwwow",0,0,0,0,0,0,0,0,0,0,0,0
"3Es4-NBMSWHoA1dcdKzUkg",0,0,0,0,0,0,0,0,0,0,0,0
"Eegtm1FFhuR-H3hnZy5qmw",0,0,0,0,0,0,0,0,0,0,0,0
"rxiPnQv2bi-z0krHHZ9ezg",0,0,0,0,0,0,0,0,0,0,0,0
"h4TsOqYt-i71E2v-UCSHBw",0,0,0,0,0,0,0,0,0,0,0,0
"kKxtYdYuQkNmrVsOaGhd6g",0,0,0,0,0,0,1,0,0,0,0,0
"UKgBxjV718lI6NTckNNNyQ",0,0,0,0,0,0,0,1,0,0,0,0
"W1X232G8wlgVbKMEoeGslQ",0,0,0,0,0,0,0,1,1,0,0,0
"hH9MtlIf8lh2n1GRRhP2Pw",0,0,0,0,0,0,0,0,0,1,0,1
"0PdqkcNYfxfpQ4t1sbiFqQ",0,0,0,0,0,0,0,0,0,0,0,0
"1jRxHqgM7a1lEuA-YZ_J5A",1,0,0,0,1,0,0,3,0,0,0,0
"PhQdHSu9-gGFnVdk5jWbJA",0,0,0,0,0,0,0,0,0,0,0,0
"o9hNRCOnSaTUebwd3JKDXw",0,1,0,0,0,0,0,0,0,0,0,0
"CcrqxL7Ehc3tntC_sYCPAA",0,0,0,0,0,0,0,0,0,4,6,2
"3wToRifDueh4vDH6eWp6Kw",0,1,0,0,0,0,0,0,0,0,0,0
"AdBJxWwQWXw-CMifnxuJOA",1,0,0,0,1,0,0,0,0,3,5,0
"-QXX-7KxLnWL6KPjPKpXtQ",0,0,0,0,0,0,0,0,0,0,0,0
"pbJYK9I9_F3ft_nEQYNU4g",0,0,0,0,0,0,0,0,0,0,1,0
"J7FyGRz9gD9XvUk-QzNEGA",0,0,0,0,0,0,0,0,0,0,0,0
"brBKfjGUjq_1c34V-g2DRA",0,0,0,0,0,0,0,1,0,0,0,0
"BU59PQxIf16HZ2CbgxxTIg",0,0,0,0,0,0,0,1,0,0,0,0
"WuKymVxRxtMjrSuyZxbn4g",2,1,0,0,0,2,0,2,0,0,0,0
"-iFkHglmhuiD2yA5a4Z9sw",0,0,0,0,0,0,0,0,0,1,0,0
"F5-E2plB5XIQ7JOyFJ6nBg",0,0,0,0,0,0,0,0,0,0,0,0
"EUigW9fNW0az0EtF3t5vxg",0,0,0,0,0,0,0,0,0,0,0,0
"ZlP5_vI9_AFbJ0IlcmFmig",0,0,0,0,0,0,0,0,0,0,0,0
"NQW9KrKLw5bZcCWed-NRDA",0,0,0,0,0,0,0,0,0,0,1,0
"eqXFomYklgJf7tMvQclTHA",1,0,0,0,0,0,1,0,0,0,1,0
"oJLNJwYAfdrw7fBdWL0q6w",0,0,0,0,0,0,0,0,0,0,0,0
"wdV8ZBUCIGD7VCAAiFbLEA",0,0,0,0,0,0,0,0,0,0,0,0
"q4L_ulgedDEzjdzm_9sVjg",0,0,0,0,0,0,0,0,0,0,0,0
"cgTFZEfSf4HTOLirP1Lq7w",0,0,0,1,0,0,0,0,0,0,3,0
"Gx4wZNxUFVD3v4C-BwweJw",1,0,0,0,0,1,0,2,0,0,0,0
"QJEQSG47EhbGpK0FDA5a-Q",0,0,0,0,0,0,0,1,0,0,0,0
"FT7Vw--9DZCJl1F8vsmpqQ",0,0,0,0,1,0,0,0,0,0,0,0
"FdHWedpGSDZeV-3dkVn1vg",0,0,0,0,0,0,0,0,0,0,0,0
"aKYFEJ2JLPbprVac4JeHdw",0,0,0,0,0,0,0,7,0,0,0,0
"E-0tnpyfaPxY5Sxwqp4ibw",0,0,0,0,0,0,1,0,0,0,0,0
"Snow8KahgC1WKM8PMBCz2Q",2,0,0,0,0,3,0,2,0,0,0,0
"Z47AiolVHzUfi72NZpmOIg",1,0,0,0,0,0,0,0,0,0,0,0
"bJhTs0EHKzx_2-C-iCM2UQ",0,1,0,0,0,0,1,1,0,0,0,0
"OMH1OXFj3LNytbvVZr2Xww",0,1,0,0,0,0,0,1,0,0,1,0
"sAbohB6C69_5I0A-ZOBntg",0,0,0,0,0,0,0,1,0,1,0,0
"LEmdZ0T1ZIQo1cXn0vfPww",0,0,0,0,0,0,0,0,0,0,0,0
"UGrZ5FM4lfOJP-H3NozB3g",1,0,0,0,1,1,0,0,0,1,0,0
"mBIXeBQrIGpOD_RFrE7-2A",0,0,0,0,0,0,0,0,0,0,0,0
"Y6qtCE2jWZpfrZrKj71ZUQ",0,0,0,0,0,0,0,0,0,0,0,0
"ELHdQ-0os-_AjBKnjlj1Qw",0,0,0,0,0,0,0,0,0,0,0,0
"tTb83QElznC8EB5r99pHVg",0,0,0,0,0,0,0,2,0,0,2,0
"l7fmi7OiDKeLasf3UqCXXg",1,0,0,0,0,0,0,0,0,0,0,2
"zB3f0ZwQHm97TtjbXF-n8Q",0,0,0,0,0,0,0,0,0,0,0,0
"VTYxPXqBwbdThewpyBEHow",0,0,0,0,0,0,0,1,0,0,0,0
"NCYGf_h3arduvDZMOGqBTw",0,0,0,0,0,0,0,0,0,0,0,0
"ptNomldecxHmybtQZw3Q5A",0,0,0,0,0,0,0,0,0,0,0,1
"-K1qLb1IP6-f7x0iSOaZdg",0,0,0,0,0,0,0,0,0,0,0,0
"ek8ppeFioq3OIlhgOYPmpw",0,0,0,0,0,0,0,0,0,0,0,0
"B6Fx37j2oB8ArnseYyAGJA",0,0,0,0,0,0,0,0,0,0,0,0
"U4J_yedRxbXVSDrJCOjx1w",0,0,0,0,0,0,0,0,0,0,1,0
"87PF6KvnqE16NU7nee34zQ",0,0,0,0,0,0,0,0,0,0,0,0
"HJcbfASxltQ63fSKpGHoKQ",0,0,0,0,1,0,0,0,0,0,0,1
"XyLMfJys1oMPIfMSgQBZYw",0,0,0,0,0,0,0,0,0,0,3,0
"li8LKEOGrCnf97E-93IyGA",0,0,0,0,0,0,0,0,0,0,0,0
"IcTiVF4EwoBsmMxJZNx6bQ",0,0,0,0,0,1,0,2,0,0,1,0
"SiFBTHB_7Ie4oqNEUO0o8w",1,1,0,0,0,0,0,0,0,1,2,2
"sYoSp82icSiqGAUSjMlSdA",0,0,0,0,0,0,0,1,0,0,0,0
"QoCCkKzpG14w1RRnXhV9Lw",0,3,0,1,0,0,0,0,0,3,3,0
"l4EI7gNc_AlK-OM4YEz5Xg",0,0,0,0,0,0,0,0,0,0,0,0
"2cxDvWvYBdW0bidSFopVxg",0,0,0,0,0,0,0,0,0,0,0,0
"FwrJk3J3Rcj2Bjiw9UbogA",0,0,0,0,0,0,0,0,0,1,1,0
"r88GXDEPMqmPE9hUNZr9Jg",1,0,0,0,0,0,0,0,0,3,2,3
"xDIOUR45o5g7_ZgGPHiPww",0,0,0,0,0,0,0,0,0,0,0,0
"n0ci8REWUPPOxDKTOz6I9A",0,0,0,0,0,0,0,0,0,0,0,0
"PmLnFtjV0ScQ_U18P-u1BQ",0,0,0,0,0,0,0,0,0,0,2,0
"lsAvrtcFM18BoGmziecNZg",0,0,0,0,0,0,0,0,0,0,0,0
"Us-orlgilY8XEdigIIEZcQ",0,0,0,0,0,0,0,0,0,0,0,0
"a0y-DJGc6Qmjv5Rt2nJ9LQ",0,0,0,0,0,0,0,1,0,0,0,0
"le-4QdkYpJgMpigEm9m6UQ",0,0,0,0,0,0,0,0,0,0,0,1
"Nu0Jcb2yzMegToOpAvpOog",0,0,0,0,0,0,0,0,0,0,0,0
"fbvlyeQ2sIXwi3uSNU1Ofw",0,0,0,0,0,0,0,1,0,0,3,0
"DVGaQldfQUJWJ_AiNwpiZw",0,0,0,0,0,0,0,0,0,0,1,0
"sefA68xYQWH2orjyLeJmyw",0,0,0,0,0,0,0,0,0,0,0,0
"LqUEOoEx0Un3VLQq7PA15g",0,0,0,0,0,0,0,0,0,1,0,0
"IIXJOHnNYO6k4Mhwd61cbA",0,0,0,1,0,0,0,1,0,0,0,0
"F3YNbaPFlox6gqNodZP2_g",0,0,0,0,0,0,0,2,1,0,0,0
"6D5NONk557p341Ddo7pEGA",0,1,0,0,0,0,0,1,0,1,0,0
"bE3bSzkSBFn8k9h-MW2rfA",0,0,0,0,0,0,0,1,0,0,0,0
"dny95z4kYFzl9wLEzbC2bg",0,0,0,0,0,0,0,1,0,0,0,0
"IDz1JezRku1ZSOuuj2q5yg",0,0,0,0,0,0,0,0,0,0,0,0
"uX_GVuQMSSicJIeAb89T6Q",0,0,0,0,0,1,0,1,0,0,1,0
"djf3hp4TbTt4akqqj_oR9A",0,0,0,0,0,0,0,0,0,1,4,2
"ty4iVMd3RrVhrXKE3MRF2w",0,0,0,0,0,0,0,0,0,2,2,1
"HQNBt_w7CQmCWbL6GPxfZg",0,0,0,0,0,0,0,2,0,0,0,0
"mrKzQ0QbfYLXXLLtDzQrew",0,0,0,0,0,0,0,0,0,0,0,0
"ben-TJCQBB4bfaPR0YJ3Pw",0,0,0,0,0,0,0,1,1,1,0,0
"TrBczINdfEL4AksDANaNeQ",0,0,0,0,0,0,0,0,0,0,0,1
"5snkYFX0RLtlfSIbJ-klcQ",0,0,0,0,0,0,0,0,0,1,2,1
"7FsGY0awr4kWrKPY4CtOdg",0,1,0,0,0,0,0,1,1,0,0,0
"Mhv0tnOwskvYm_rKnzs0qQ",1,2,0,0,0,0,0,0,0,0,0,0
"C_vO4-4XAxkSv7Jb2ZrFUA",0,2,0,1,0,0,0,0,1,2,0,0
"VggHh78eLIHyFaViQh5YgQ",1,0,0,0,0,1,0,1,0,1,0,0
"oL3T9ve4henAPteCB-sOFA",0,0,0,0,0,0,0,1,0,0,0,0
"iZy9nlPm0ozk06O-658ghQ",0,0,0,0,0,0,0,0,0,0,0,0
"hptudxwdSBj3eZuJhWXiRQ",0,0,0,0,0,0,0,0,0,0,0,0
"NoEfMfNtEr3jvXaw7o_Eyw",0,0,0,0,0,0,0,0,0,0,1,0
"973ZLUWpkkg25iuTeGf5Bg",1,0,0,0,0,0,0,3,0,2,2,2
"GoZcakZ71Jr5SkghJ4DNUA",0,0,0,0,0,0,0,0,0,0,0,0
"zM_mbhF09tlkTWatQxFfNg",0,0,0,0,0,0,0,0,0,0,0,0
"0IfCWUQe15-_BKpqWN8xRg",0,1,0,0,0,0,0,0,0,0,2,0
"X8YmWQXpR64D6omIf6Yh_g",0,1,0,0,0,0,0,1,0,0,0,1
"6Rsk2NP9_wpG3CppaRwZ1w",0,0,0,0,0,0,0,0,0,0,0,0
"t6ZqWhzqLOh2SxZteUP8dg",1,0,0,0,0,1,0,1,0,0,0,0
"DxYpQpZfP83cS7RHtEgQJg",0,0,0,0,0,0,0,1,0,1,0,0
"dGxR8F6rNKTp31v0oHeZmw",0,0,0,0,0,0,0,0,0,0,0,0
"dtlME9siasq6GlmAp0qouQ",0,0,0,0,0,0,0,0,0,1,0,0
"uVDrv7o_skzNfbe0Bu_UBg",0,0,0,0,0,0,0,0,0,0,0,2
"U6erRGJ6uRXltgljrdG6WA",0,0,0,0,0,0,0,0,1,0,0,0
"AMEjUX9bnjWvl5TFbUWJ5A",0,0,0,0,0,0,0,0,0,0,0,0
"5xYod9jPbE0QvPsKDHwchQ",0,0,0,0,0,0,0,0,0,0,0,0
"WcXbVo_9XYZYrT6pyo8FAg",0,0,0,0,0,0,0,0,0,0,0,0
"YzbSdEC5-35JHb-81mWOkQ",0,0,0,0,0,0,0,0,0,0,0,0
"ogsk2WQ_lxalfuyZi7TrAg",0,0,0,0,0,0,0,0,0,1,2,0
"rYeE1ylJj71kHZNY2piz1A",0,0,0,0,0,0,0,2,0,0,0,0
"I_j44R89XfUK3pmnlvM__Q",0,0,0,0,0,0,0,0,0,0,0,0
"_LriMP3PIyVuPiggv-Gp6g",0,0,0,0,0,0,0,0,0,0,0,0
"nUhGKyQnnX45GcV5pd6dzw",0,0,0,0,0,0,0,0,0,0,0,0
"6Z_4A5Xv77YXcAmHgjll7Q",0,0,0,0,0,0,0,0,0,2,3,0
"OZmyBoabfxKxrIbJHtoKEw",0,0,0,0,0,0,0,0,0,0,1,0
"BKuulHfh2v2ebVmiXWNggA",1,1,0,0,0,0,0,2,0,0,1,0
"JuQtuTz1sDu9593SBQEnhg",0,0,0,0,0,0,0,0,0,0,1,0
"AFLO8eINMOCaPhSm4xlFTQ",0,0,0,0,0,0,0,0,0,0,0,0
"YC65gHSSPQ8LVu7-JSaGJQ",0,0,0,0,0,0,0,0,0,0,0,0
"5TIlZe9Sz-ZSFm2wMQv7oQ",0,0,0,0,1,0,0,3,0,0,2,2
"xUtzAMGpnrXmLn2jSCtZnw",0,0,0,0,3,0,0,0,0,0,0,0
"EorxDBvWnt-F89MdKXpyEw",0,0,0,0,0,0,0,0,0,0,0,0
"Wa9Sy1cD_bQMOZHrwxC6Cg",0,0,0,0,0,0,0,0,0,0,0,0
"q0Sf4IF7Q9pQOWpKporscQ",0,0,0,2,0,0,0,0,0,0,0,0
"5_2rcPtgTn08QsCJoD4iTQ",0,0,0,0,0,0,0,0,0,0,0,0
"B88H57AMV4Dx4BeApOjdTA",0,0,0,0,0,0,0,1,0,0,0,0
"_MsN_rov0FCsPIWHH9s33Q",2,0,0,0,0,0,2,2,0,0,0,0
"7Lo6-IsZ_yqU4Y50aSSezw",0,0,0,0,0,0,0,0,0,0,0,0
"Iql-icdODwhrGHXNLtlZNQ",0,0,0,0,0,0,0,1,0,0,0,0
"hyHZzyErxOT3iKXKqNBGqQ",0,0,0,0,0,0,0,0,0,0,0,0
"CSR7EX5vtQLwTbbsedxMmg",0,0,0,0,0,0,0,0,0,0,0,0
"c2OvQa1vGXKB9QeWPvHCIA",0,0,0,0,1,0,0,0,0,0,2,0
"yYqe_vyWxGT5KlQv8vwnvg",0,0,0,0,0,0,0,0,0,0,0,0
"Nfylwunnzjtozj56WzIGGw",0,0,0,0,0,0,0,1,0,0,0,0
"JwFX5WPrXnIKV59SRqaD9w",0,0,0,0,0,0,0,0,0,0,0,0
"juF5pegFDdshHA865fwgvg",0,0,0,0,0,0,0,0,0,0,0,0
"gzZQ_thns-0pkbpEAk8z8Q",0,0,0,0,0,0,0,0,0,0,0,3
"0ZGuIf3BHlkS_8Chf6_5VA",0,0,0,0,0,0,0,0,0,0,0,0
"hj2Uz9xcPg34e1JMGgL3hQ",0,0,0,0,0,0,0,2,0,0,0,0
"4wLXgYBpzIMS8xxpJIUaww",0,0,0,0,0,0,0,0,0,0,0,0
"4n82Kh-1SqjpNDjgrFgYMw",0,0,0,0,0,0,0,0,0,0,0,0
"oW7XYuYuIlo3g6gM_Bsi6w",0,0,0,0,0,0,0,0,0,0,0,0
"oD4G7Uk72MawSIFRuQHvlA",0,0,0,0,0,0,0,0,0,0,0,0
"unVlhdsE70-otGnOaJPjWQ",1,0,0,0,1,0,1,0,0,1,0,0
"7QN3el6zFP5KXtQM0ps4uw",0,0,0,0,0,0,0,0,0,0,0,0
"M0AQSjMeMscmz9DJbpBRow",0,0,0,0,0,0,0,0,0,0,0,0
"UBrnjuJO5UcvYpGSxZSwGg",0,0,0,0,0,0,0,0,0,0,1,0
"5wSUe_gfSourhdF4whUwPw",0,0,0,0,0,0,0,0,0,0,0,0
"q2upBCKW879ivIaUYGXJyw",0,0,0,0,0,0,0,0,0,0,1,0
"pSvDQVzdjx1yAn14qrd2vw",1,0,0,0,0,0,0,0,0,0,0,0
"wZzfShRqZBLzB7sETBlxWw",0,0,0,0,0,0,0,0,0,0,0,0
"pPh1uhJijETp0y8Yp5G4sw",0,0,0,0,0,0,0,0,0,0,0,0
"MRk1FbvQkiibstOKpjnu6w",0,0,0,0,0,0,0,0,0,0,0,0
"LO2kVUXK6nYyyGAL3bS-rw",0,0,0,0,0,0,0,0,0,0,0,0
"cB4ayxqnxv-oGVx0Ef8duw",0,2,0,0,1,0,0,3,0,0,0,0
"HIw09bLy39dLZvtJKleo3A",0,0,0,0,0,0,0,1,0,0,0,0
"EAsNPHnHzyk3s4DwfGMSbw",0,0,0,0,0,0,0,0,0,0,0,0
"q61tt7LDKC-jCLE5KJ6nCg",0,0,0,0,0,0,0,0,0,0,0,0
"Mnb-vK-Vmre8tudxrxvApw",0,0,0,0,0,0,0,1,0,0,0,0
"PHj7K5ZFia2Iqgiyndwq1w",0,0,0,0,0,0,0,0,0,1,0,0
"EjCy9jSZrHhllolWHKE3UA",0,0,0,0,1,0,0,2,0,0,0,0
"ml-o8N_zOr2rAEsF46v5rA",0,0,0,1,0,0,0,0,0,0,0,0
"sdhgbUevVEnJVaqehRpsww",0,0,0,0,0,0,0,0,0,0,0,0
"VRvR8Ww6YxkazMrZ-KFGxQ",1,0,0,0,0,0,0,0,0,0,3,0
"nOaFqn9d1CjLTUbEJQF3nA",0,0,0,0,0,0,0,0,0,0,1,0
"4sRtm8v4WJUltx2GaHIuDg",0,0,0,0,0,0,0,4,3,2,0,2
"rmru6dJSygBYOrQIrUU5IA",0,0,0,0,0,0,0,0,0,0,0,0
"pmGeaYH-yj_Z3TlfRnG6Qg",0,0,0,0,0,1,0,0,0,0,2,0
"JcUJmmst2h_JP3PbnhYKMA",0,0,0,0,0,0,0,0,0,0,0,0
"PNKLGp18kwbWRhNF960Zng",1,0,0,0,0,1,0,3,0,0,0,0
"PzrWYq4aQZD8J_X9aNnlyA",0,0,0,0,0,0,0,0,0,0,0,0
"Zuuuo6AYI1PLtZAP5Mi69Q",0,1,0,0,0,0,0,0,0,1,0,0
"EP5TQDrqGVvlJMpeYoVhcg",0,0,0,0,0,0,0,0,0,1,0,0
"r0bRKENFHRlGyCyY7fh2Sg",0,0,0,0,0,0,1,0,1,0,0,0
"JhgM3KD-5VoXCxT3wG79fw",0,0,0,0,0,0,0,0,0,0,0,0
"NFMCvCcRyVsC38EB2WzGaw",0,0,0,0,0,0,0,1,0,0,0,0
"qzP5elrsWh1k-rx7O2e4ug",0,0,0,0,0,0,0,3,0,3,0,0
"Ug3dKBYrQCJ6tqFZTmGwYg",0,0,0,0,0,0,0,0,0,0,0,0
"tRy5gkpwVs1vGvXTfUi6HQ",0,0,0,0,0,1,1,1,0,0,1,0
"NN_-QOkXVNVh3clG9vimDw",0,2,0,0,0,0,0,0,0,4,2,3
"b734ggJPAYSBWWXpLDbW4A",2,0,0,0,0,0,0,0,0,2,0,1
"rfWlxEPFdtrUd0iiFDWsvg",0,0,0,0,0,0,0,0,0,0,0,0
"O9Re_ulX67qgU3RpDcaxvQ",0,0,0,0,0,0,0,0,0,0,0,0
"2EYBQVaIMC3HBWmUmBbk7A",0,0,0,0,0,0,0,0,0,1,1,0
"LPLPdrmbQ-cznKrLOdQR6g",0,0,0,1,0,0,0,0,0,0,0,0
"sB7skxZZ5v3ruSTMiz0nRw",0,0,0,0,0,0,0,0,0,0,1,0
"xO0sKdaGPurzAqvka4rDOQ",0,0,0,0,0,0,0,0,0,0,0,0
"TEH56I9qbjhI9VOj9FjyNw",0,0,0,0,0,0,0,0,0,0,0,0
"DDjURzsaXR8OxVwB7aocaQ",0,0,0,0,0,0,0,0,0,0,1,1
"p1fDiWir8hIJDlIzlOlELQ",0,0,0,0,0,0,1,0,0,0,2,0
"Zzt5SoGFeEUJJI_0G6OMFw",0,0,0,0,0,0,0,1,0,1,0,0
"5Qn6lD7mpDXYXhcM2KUoRw",0,0,0,0,0,0,0,0,0,0,0,0
"kkyKMDyfdaFZ2Cc6q-G_4A",0,0,0,0,0,0,0,2,0,0,0,0
"IweigGpdA1HFNj38UzXxpQ",0,0,0,0,0,0,0,0,0,0,0,0
"l29XYJDlqZgdS_AmhUPM0w",0,0,0,0,0,1,0,3,0,0,1,0
"MpoNEPPYIz-Zkwaz0IXAwQ",1,0,0,0,0,1,0,1,0,0,0,0
"q905lhOxnHz49HNYng66cg",0,0,0,0,0,0,0,0,0,0,0,0
